    n, merge_cmp, merge_swaps, merge_time
  828,      6980,           0,       3937
  829,      6994,           0,       3923
  830,      6999,           0,       3860
  831,      6999,           0,       4200
  832,      7039,           0,       4202
  833,      7051,           0,       3983
  834,      7075,           0,       4166
  835,      7075,           0,       4106
  836,      7075,           0,       3926
  837,      7089,           0,       4006
  838,      7105,           0,       4220
  839,      7101,           0,       4264
  840,      7137,           0,       4245
  841,      7152,           0,       3950
  842,      7145,           0,       4526
  843,      7154,           0,       4118
  844,      7178,           0,       4022
  845,      7184,           0,       4125
  846,      7191,           0,       4001
  847,      7202,           0,       4297
  848,      7215,           0,       4482
  849,      7224,           0,       4678
  850,      7206,           0,       4075
  851,      7223,           0,       3997
  852,      7240,           0,       4176
  853,      7239,           0,       4154
  854,      7233,           0,       4049
  855,      7285,           0,       4131
  856,      7273,           0,       4515
  857,      7279,           0,       4090
  858,      7285,           0,       4061
  859,      7305,           0,       4066
  860,      7329,           0,       4596
  861,      7347,           0,       4067
  862,      7351,           0,       4096
  863,      7344,           0,       5160
  864,      7360,           0,       6028
  865,      7362,           0,       6005
  866,      7373,           0,       5323
  867,      7390,           0,       4627
  868,      7408,           0,       6424
  869,      7413,           0,       6624
  870,      7421,           0,       4927
  871,      7425,           0,       7860
  872,      7434,           0,       5517
  873,      7443,           0,       4239
  874,      7446,           0,       4330
  875,      7468,           0,       4294
  876,      7477,           0,       4483
  877,      7485,           0,       5196
  878,      7502,           0,       4181
  879,      7475,           0,       4179
  880,      7498,           0,       4397
  881,      7504,           0,       4148
  882,      7511,           0,       4433
  883,      7542,           0,       4204
  884,      7574,           0,       4502
  885,      7589,           0,       4623
  886,      7566,           0,       4219
  887,      7601,           0,       4196
  888,      7595,           0,       4733
  889,      7602,           0,       4242
  890,      7603,           0,       4371
  891,      7597,           0,       4369
  892,      7636,           0,       5261
  893,      7640,           0,       4323
  894,      7648,           0,       4963
  895,      7661,           0,       4487
  896,      7675,           0,       4251
  897,      7683,           0,       4364
  898,      7707,           0,       4272
  899,      7718,           0,       4268
  900,      7734,           0,       4907
  901,      7737,           0,       4942
  902,      7729,           0,       4258
  903,      7725,           0,       4311
  904,      7751,           0,       4391
  905,      7763,           0,       4451
  906,      7759,           0,       4316
  907,      7785,           0,       4273
  908,      7809,           0,       4940
  909,      7825,           0,       4410
  910,      7818,           0,       4524
  911,      7821,           0,       5123
  912,      7831,           0,       4355
  913,      7848,           0,       4382
  914,      7850,           0,       4629
  915,      7859,           0,       4762
  916,      7861,           0,       4701
  917,      7871,           0,       4360
  918,      7877,           0,       5174
  919,      7914,           0,       4515
  920,      7929,           0,       4379
  921,      7936,           0,       4507
  922,      7937,           0,       4397
  923,      7966,           0,       4898
  924,      7962,           0,       5062
  925,      7975,           0,       4390
  926,      7965,           0,       4433
  927,      7993,           0,       4521
  928,      7979,           0,       4535
  929,      7990,           0,       4437
  930,      8004,           0,       4467
  931,      8010,           0,       4910
  932,      8003,           0,       4429
  933,      8022,           0,       4564
  934,      8036,           0,       5241
  935,      8052,           0,       4461
  936,      8081,           0,       4521
  937,      8096,           0,       4611
  938,      8106,           0,       5246
  939,      8134,           0,       4478
  940,      8103,           0,       4545
  941,      8127,           0,       5159
  942,      8115,           0,       4693
  943,      8145,           0,       4518
  944,      8140,           0,       4624
  945,      8153,           0,       4816
  946,      8148,           0,       4812
  947,      8166,           0,       5387
  948,      8181,           0,       4544
  949,      8200,           0,       4492
  950,      8211,           0,       4859
  951,      8205,           0,       4530
  952,      8206,           0,       4902
  953,      8217,           0,       5712
  954,      8249,           0,       4600
  955,      8246,           0,       4570
  956,      8264,           0,       4854
  957,      8272,           0,       4636
  958,      8278,           0,       4599
  959,      8281,           0,       4547
  960,      8325,           0,       5110
  961,      8332,           0,       4710
  962,      8345,           0,       4621
  963,      8347,           0,       5500
  964,      8334,           0,       4649
  965,      8346,           0,       6276
  966,      8383,           0,       4913
  967,      8392,           0,       5082
  968,      8390,           0,       4678
  969,      8394,           0,       5581
  970,      8410,           0,       4702
  971,      8421,           0,       4642
  972,      8430,           0,       4804
  973,      8431,           0,       4847
  974,      8449,           0,       5392
  975,      8457,           0,       5432
  976,      8476,           0,       4720
  977,      8487,           0,       4646
  978,      8473,           0,       4867
  979,      8496,           0,       4688
  980,      8487,           0,       4814
  981,      8497,           0,       6776
  982,      8533,           0,       5676
  983,      8544,           0,       4912
  984,      8563,           0,       4794
  985,      8582,           0,       4721
  986,      8555,           0,       4720
  987,      8592,           0,       5298
  988,      8590,           0,       5009
  989,      8617,           0,       4751
  990,      8620,           0,       5454
  991,      8622,           0,       4945
  992,      8613,           0,       4761
  993,      8625,           0,       4897
  994,      8645,           0,       5127
  995,      8639,           0,       5128
  996,      8651,           0,       6417
  997,      8649,           0,       4787
  998,      8674,           0,       4817
  999,      8672,           0,       4931
 1000,      8723,           0,       4908
 1001,      8723,           0,       5332
 1002,      8745,           0,       5599
 1003,      8742,           0,       4781
 1004,      8751,           0,       4929
 1005,      8748,           0,       4938
 1006,      8773,           0,       4842
 1007,      8767,           0,       4849
 1008,      8813,           0,       5653
 1009,      8825,           0,       4946
 1010,      8824,           0,       4849
 1011,      8852,           0,       5688
 1012,      8829,           0,       4909
 1013,      8851,           0,       5012
 1014,      8823,           0,       5060
 1015,      8857,           0,       5573
 1016,      8870,           0,       4964
